REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
NOROCCIDENTE;MEDELLIN;191;CENTRO ADMINIS. LA ALPUJARRA;1/01/2018;4,5;1;;34;;27;1;;;11;10;8;;91;2;2;MEDIANA;1;0;2018;Trim.1;20,2
NOROCCIDENTE;MEDELLIN;208;EL POBLADO;1/01/2018;2,5;1;8;67;;23;11;1;;9;6;13;1;139;1;1;MEDIANA;1;0;2018;Trim.1;55,6
NOROCCIDENTE;MEDELLIN;187;GUAYABAL;1/01/2018;1,5;1;;26;;14;2;;;10;3;3;;58;0;1;PEQUEÑA;1;0;2018;Trim.1;38,7
NOROCCIDENTE;MEDELLIN;187;GUAYABAL;1/01/2018;2,5;1;3;6;;11;2;1;;7;3;6;;39;1;1;PEQUEÑA;1;0;2018;Trim.1;15,6
NOROCCIDENTE;MEDELLIN;190;GUAYAQUIL;1/01/2018;2,5;1;;34;;22;8;;;11;6;12;;93;1;1;MEDIANA;1;0;2018;Trim.1;37,2
NOROCCIDENTE;MEDELLIN;182;LA PLAYA;1/01/2018;4,5;1;9;186;;25;5;;;14;7;3;;249;2;2;GRANDE;1;0;2018;Trim.1;55,3
NOROCCIDENTE;MEDELLIN;186;LAURELES;1/01/2018;3,5;1;2;20;;36;6;2;;21;5;14;;106;2;1;MEDIANA;1;0;2018;Trim.1;30,3
NOROCCIDENTE;MEDELLIN;180;MEDELLIN;1/01/2018;8,5;1;3;117;;103;14;1;11;63;33;57;1;403;4;4;Muy Grande;1;0;2018;Trim.1;47,4
NOROCCIDENTE;MEDELLIN;180;MEDELLIN;1/01/2018;1,5;1;1;20;;13;;;;3;4;9;;50;1;0;Muy Grande;1;0;2018;Trim.1;33,3
NOROCCIDENTE;MEDELLIN;264;ONE PLAZA;1/01/2018;2;0;;13;;3;4;;;;3;;;23;1;1;DEPENDIENTE;0;0;2018;Trim.1;11,5
