REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
OCCIDENTE;VALLE Y EJE CAFETERO;280;MANIZALES;ene-18;9,5;1;5;182;4;78;9;;;31;21;15;;345;5;4;MUY GRANDE;0;0;2018;Trim.1;36,3
OCCIDENTE;VALLE Y EJE CAFETERO;583;NUEVA OFICINA YUMBO;ene-18;3,5;1;5;20;;31;10;1;;27;5;90;;189;2;1;PEQUEÑA;1;0;2018;Trim.1;54
OCCIDENTE;VALLE Y EJE CAFETERO;590;PALMIRA;ene-18;6,5;1;43;166;;82;6;;2;58;15;43;;415;4;2;GRANDE;1;0;2018;Trim.1;63,8
OCCIDENTE;VALLE Y EJE CAFETERO;470;PEREIRA;ene-18;6,5;1;2;94;;61;7;2;3;27;9;8;;213;3;3;MUY GRANDE;0;0;2018;Trim.1;32,8
OCCIDENTE;VALLE Y EJE CAFETERO;290;POPAYAN;ene-18;6,5;1;8;103;4;44;6;;1;26;23;30;2;247;3;3;MUY GRANDE;0;0;2018;Trim.1;38
OCCIDENTE;VALLE Y EJE CAFETERO;600;TULUA;ene-18;9,5;1;25;145;1;123;23;5;4;53;16;32;2;429;5;4;GRANDE;0;0;2018;Trim.1;45,2
OCCIDENTE;VALLE Y EJE CAFETERO;440;TUMACO;ene-18;4,5;1;5;383;2;32;6;;;21;11;27;1;488;2;2;MEDIANA;0;0;2018;Trim.1;108,4
OCCIDENTE;VALLE Y EJE CAFETERO;291;UNIVERSIDAD DEL CAUCA;ene-18;1;0;4;27;;6;2;;;;1;;;40;1;0;DEPENDIENTE;0;0;2018;Trim.1;40
OCCIDENTE;VALLE Y EJE CAFETERO;606;VIVA BUENAVENTURA;ene-18;2;0;4;17;;9;;;;;6;;;36;1;1;DEPENDIENTE;0;1;2018;Trim.1;18
BOGOTÁ Y PYME;BOGOTÁ CENTRO;141;AVENIDA SEXTA - BOGOTA;feb-18;2,5;1;4;19;1;32;3;1;5;12;6;53;;136;1;1;PEQUEÑA;1;0;2018;Trim.1;54,4
BOGOTÁ Y PYME;BOGOTÁ SUR ;130;BARRIO RESTREPO;feb-18;4,5;1;1;94;;45;6;1;3;35;9;66;;260;2;2;GRANDE;1;0;2018;Trim.1;57,8
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;BARRIO RICAURTE;feb-18;2,5;1;5;28;;7;4;1;6;2;2;29;;84;1;1;PEQUEÑA;1;0;2018;Trim.1;33,6
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;BOGOTA;feb-18;4,5;1;7;65;;29;7;;6;13;8;87;;222;2;2;MUY GRANDE;1;0;2018;Trim.1;49,3
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;CALLE CATORCE;feb-18;9,5;1;31;114;2;82;22;2;4;34;11;115;;417;6;3;MUY GRANDE;1;0;2018;Trim.1;43,9
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;CENTRO ADMINISTRATIVO DISTRITAL;feb-18;2,5;1;3;7;;15;4;2;;7;0;34;;72;1;1;PEQUEÑA;1;0;2018;Trim.1;28,8
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;LOS MINISTERIOS;feb-18;3,5;1;5;380;;17;2;;;6;3;236;;649;2;1;MEDIANA;1;0;2018;Trim.1;185,4
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;PALOQUEMAO;feb-18;2,5;1;;32;;8;;1;;5;6;50;;102;1;1;PEQUEÑA;1;0;2018;Trim.1;40,8
BOGOTÁ Y PYME;BOGOTÁ CENTRO;40;PRINCIPAL;feb-18;7,5;1;2;99;1;57;17;1;7;19;13;63;1;280;4;3;MUY GRANDE;1;0;2018;Trim.1;37,3
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;SAN AGUSTIN;feb-18;3,5;1;2;22;;21;4;1;;8;2;55;;115;2;1;MEDIANA;1;0;2018;Trim.1;32,9
BOGOTÁ Y PYME;BOGOTÁ CENTRO;150;SAN DIEGO;feb-18;7,5;1;7;63;3;59;16;1;7;33;14;38;;241;4;3;MUY GRANDE;1;0;2018;Trim.1;32,1
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;SANS FACON;feb-18;2,5;1;8;21;;24;;;9;17;4;55;;138;1;1;PEQUEÑA;1;0;2018;Trim.1;55,2
BOGOTÁ Y PYME;BOGOTÁ SUR ;129;SOSIEGO;feb-18;2,5;1;;24;;27;;2;;8;2;28;2;93;1;1;PEQUEÑA;0;0;2018;Trim.1;37,2
