REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Planta finalta;Planta de Gerente oficial;P.A.P;Cuenta de ahorros ;Cuenta corriente;Libranza ;Tarjeta de crédito ;Crédito hipotecario;Crédito de consumo o comercial ;Banca seguros ;CDT;Cuenta protegida;Libre destino;Total productos;Asesor 2;Asesor 1;Productividad
BOGOTÁ Y PYME;BOGOTÁ NORTE;39;UNICENTRO;1/01/2019;3,68;1;2;26;;15;;1;1;7;11;6;2;71;2;2;19,29347826
BOGOTÁ Y PYME;BOGOTÁ NORTE;22;USAQUEN;1/01/2019;3,12;1;1;14;1;20;5;;;15;5;13;1;75;2;1;24,03846154
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;49;ARRECIFES ;1/01/2019;3,12;1;5;28;;17;3;1;;9;7;20;1;91;2;1;29,16666667
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;80;CAN;1/01/2019;7,24;1;17;54;2;56;12;11;;23;10;53;;238;5;3;32,87292818
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;12;CIUDAD UNIVERSITARIA;1/01/2019;2,12;1;1;7;;17;3;1;;12;1;9;;51;1;1;24,05660377
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;EL DORADO;1/01/2019;3,12;1;4;34;1;22;2;;3;14;12;24;;116;2;1;37,17948718
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;25;FERIA EXPOSICION;1/01/2019;3,68;1;7;17;4;29;8;;3;16;8;22;;114;2;2;30,97826087
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;38;FONTIBON;1/01/2019;3,68;1;2;36;;34;3;1;7;12;8;14;;117;2;2;31,79347826
BOGOTÁ Y PYME;BOGOTÁ CENTRO;160;GALERIAS;1/01/2019;3,68;1;19;38;1;21;3;;1;14;17;47;1;162;2;2;44,02173913
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;53;HAYUELOS;1/01/2019;2,12;1;4;32;;25;5;2;;14;21;12;1;116;1;1;54,71698113
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;115;PUENTE ARANDA;1/01/2019;3,12;1;9;25;1;12;3;;41;6;6;47;1;151;2;1;48,3974359
BOGOTÁ Y PYME;BOGOTÁ CENTRO;48;PUNTO 52;1/01/2019;5,24;1;17;52;2;31;19;6;2;9;14;27;1;180;3;3;34,35114504
BOGOTÁ Y PYME;BOGOTÁ CENTRO;9;TEUSAQUILLO;1/01/2019;2,12;1;3;11;;9;8;;2;1;1;37;1;73;1;1;34,43396226
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;730;ZONA INDUSTRIAL;1/01/2019;2,12;1;;34;;7;7;1;1;5;4;14;;73;1;1;34,43396226
BOGOTÁ Y PYME;BOGOTÁ SUR ;116;ALTAVISTA;1/01/2019;2,12;1;2;35;;22;5;;;11;15;17;1;108;1;1;50,94339623
BOGOTÁ Y PYME;BOGOTÁ SUR ;34;BARRIO CLARET;1/01/2019;2,12;1;;31;;26;6;2;;13;1;18;;97;1;1;45,75471698
BOGOTÁ Y PYME;BOGOTÁ SUR ;57;CAZUCA;1/01/2019;2,12;1;;29;;10;6;;;6;2;9;;62;1;1;29,24528302
BOGOTÁ Y PYME;BOGOTÁ SUR ;59;CENTRO MAYOR;1/01/2019;3,68;1;9;93;;50;7;1;;21;24;17;1;223;2;2;60,59782609
BOGOTÁ Y PYME;BOGOTÁ SUR ;670;CORABASTOS;1/01/2019;2,12;1;;25;;13;3;2;21;8;4;18;;94;1;1;44,33962264
BOGOTÁ Y PYME;BOGOTÁ SUR ;13;DEL SUR;1/01/2019;2,12;1;;11;;8;5;;1;5;3;16;;49;1;1;23,11320755
SURORIENTE;CUNDINAMARCA Y SUR;94;ESCUELA GONZALO JIMENEZ DE QUESADA;1/01/2019;1;0;10;;;12;;2;;;;;;24;1;0;24
BOGOTÁ Y PYME;BOGOTÁ SUR ;15;KENNEDY;1/01/2019;7,24;1;2;128;;79;10;;2;57;12;65;2;357;5;3;49,30939227
BOGOTÁ Y PYME;BOGOTÁ SUR ;18;MUZU;1/01/2019;3,68;1;5;57;1;40;4;1;1;22;10;15;;156;2;2;42,39130435
BOGOTÁ Y PYME;BOGOTÁ SUR ;86;PLAZA DE LAS AMERICAS;1/01/2019;2,12;1;;63;;21;1;;;;8;;;93;1;1;43,86792453
SURORIENTE;CUNDINAMARCA Y SUR;33;SIBATE;1/01/2019;2,12;1;;25;;14;;;2;10;16;22;;89;1;1;41,98113208
BOGOTÁ Y PYME;BOGOTÁ SUR ;58;SOACHA;1/01/2019;2,12;1;;29;;32;1;2;;21;9;15;;109;1;1;51,41509434
BOGOTÁ Y PYME;BOGOTÁ SUR ;35;VEINTE DE JULIO;1/01/2019;2,12;1;;49;;28;5;;;7;10;17;1;117;1;1;55,18867925
NOROCCIDENTE;ANTIOQUIA Y CHOCO;196;BELLO;1/01/2019;5,68;1;2;57;;90;8;;;60;22;50;;289;4;2;50,88028169
NOROCCIDENTE;ANTIOQUIA Y CHOCO;277;CALDAS;1/01/2019;2,68;1;3;31;;36;5;1;;23;8;5;;112;1;2;41,79104478
